Date,Inflation
01-02-91,15.42857143
01-03-91,13.55932203
01-04-91,12.22222222
01-05-91,12.08791209
01-06-91,12.97297297
01-07-91,13.22751323
01-08-91,14.21052632
01-09-91,15.70680628
01-10-91,14.35897436
01-11-91,13.63636364
01-12-91,13.06532663
01-01-92,12.87128713
01-02-92,13.36633663
01-03-92,13.93034826
01-04-92,14.35643564
01-05-92,14.70588235
01-06-92,12.91866029
01-07-92,13.08411215
01-08-92,11.52073733
01-09-92,9.954751131
01-10-92,9.417040359
01-11-92,8.444444444
01-12-92,8
01-01-93,5.701754386
01-02-93,5.240174672
01-03-93,6.113537118
01-04-93,6.06060606
01-05-93,5.128205128
01-06-93,5.93220339
01-07-93,4.545454545
01-08-93,5.785123967
01-09-93,6.58436214
01-10-93,7.37704918
01-11-93,8.606557377
01-12-93,8.641975309
01-01-94,9.128630705
01-02-94,9.958506224
01-03-94,9.87654321
01-04-94,9.795918367
01-05-94,10.56910569
01-06-94,10.8
01-07-94,11.06719368
01-08-94,10.9375
01-09-94,11.1969112
01-10-94,10.30534351
01-11-94,9.811320755
01-12-94,9.46969697
01-01-95,9.885931559
01-02-95,9.811320755
01-03-95,9.737827715
01-04-95,9.665427509
01-05-95,10.29411765
01-06-95,10.46931408
01-07-95,11.38790036
01-08-95,10.91549296
01-09-95,10.06944444
01-10-95,10.38062284
01-11-95,10.30927835
01-12-95,9.688581315
01-01-96,8.996539792
01-02-96,8.591065292
01-03-96,8.873720137
01-04-96,9.830508475
01-05-96,9.333333333
01-06-96,8.823529412
01-07-96,8.306709265
01-08-96,8.888888889
01-09-96,8.517350158
01-10-96,8.463949843
01-11-96,8.722741433
01-12-96,10.41009464
01-01-97,11.11111111
01-02-97,10.75949367
01-03-97,10.03134796
01-04-97,9.259259259
01-05-97,7.317073171
01-06-97,6.606606607
01-07-97,5.604719764
01-08-97,4.664723032
01-09-97,4.941860465
01-10-97,5.49132948
01-11-97,4.871060172
01-12-97,6.285714286
01-01-98,9.714285714
01-02-98,9.142857143
01-03-98,8.262108262
01-04-98,8.192090395
01-05-98,10.51136364
01-06-98,12.3943662
01-07-98,14.80446927
01-08-98,15.04178273
01-09-98,16.3434903
01-10-98,18.63013699
01-11-98,19.67213115
01-12-98,15.32258065
01-01-99,9.375
01-02-99,8.638743456
01-03-99,8.947368421
01-04-99,8.355091384
01-05-99,7.712082262
01-06-99,5.263157895
01-07-99,3.163017032
01-08-99,3.147699758
01-09-99,2.142857143
01-10-99,0.923787529
01-11-99,0
01-12-99,0.466200466
01-01-00,2.619047619
01-02-00,3.614457831
01-03-00,4.830917874
01-04-00,5.542168675
01-05-00,5.011933174
01-06-00,5.238095238
01-07-00,4.952830189
01-08-00,3.990610329
01-09-00,3.496503496
01-10-00,2.745995423
01-11-00,2.739726027
01-12-00,3.480278422
01-01-01,3.248259861
01-02-01,3.023255814
01-03-01,2.534562212
01-04-01,2.283105023
01-05-01,2.5
01-06-01,3.393665158
01-07-01,4.04494382
01-08-01,5.191873589
01-09-01,4.72972973
01-10-01,4.231625835
01-11-01,4.888888889
01-12-01,5.156950673
01-01-02,4.943820225
01-02-02,5.191873589
01-03-02,5.168539326
01-04-02,4.6875
01-05-02,4.65631929
01-06-02,4.157549234
01-07-02,3.887688985
01-08-02,3.862660944
01-09-02,4.301075269
01-10-02,4.05982906
01-11-02,3.601694915
01-12-02,3.198294243
01-01-03,3.426124197
01-02-03,3.862660944
01-03-03,4.05982906
01-04-03,5.117270789
01-05-03,4.661016949
01-06-03,4.411764706
01-07-03,4.158004158
